Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
57d8c08ce2e2f26a24830bed4aa4714a7c3d45d5571db7b999002e213506018c,2017-11,Lincolnshire Police,Lincolnshire Police,-0.302638,53.286924,On or near Supermarket,E01026121,East Lindsey 007C,Unable to prosecute suspect
89f43ab3003b18b55930f822fb01a872aa2e6186260840abab2a50536e02df7b,2017-11,Lincolnshire Police,Lincolnshire Police,-0.780535,53.407074,On or near HENLEY COURT,E01026378,West Lindsey 004A,Investigation complete; no suspect identified
d3c5c6d69293d65bf88654dab2c0414196705f0b87f0635d86441f886db992d8,2017-11,Lincolnshire Police,Lincolnshire Police,-0.060265,53.308741,On or near Sports/Recreation Area,E01026070,East Lindsey 009C,Investigation complete; no suspect identified
c63963a50e8aa386a0f0e208f09d5539c82ff225b5208641912843c50ce835f1,2017-11,Lincolnshire Police,Lincolnshire Police,-0.472588,52.652175,On or near BROWNLOW STREET,E01026350,South Kesteven 016B,Investigation complete; no suspect identified
3423dad4916c039ced54a3d850dedfddc7d3d3816d0a6cf1d9510e6d1ab832c0,2017-11,Lincolnshire Police,Lincolnshire Police,-0.410487,52.998566,On or near Further/Higher Educational Building,E01026227,North Kesteven 010A,Investigation complete; no suspect identified
dba20b9c5d6a5af6d96602e3f3a8c5fc9c115897bf641939f1715db87b380948,2017-11,Lincolnshire Police,Lincolnshire Police,-0.769555,53.387707,On or near Supermarket,E01026382,West Lindsey 004D,Unable to prosecute suspect
7d5a5814853f7b06f65de49cdc74f85cec8721e58957f5557ae528a4fdb6f638,2017-11,Lincolnshire Police,Lincolnshire Police,0.264325,53.341662,On or near Parking Area,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
282128792f17caedc828e84d722332a4adc2756c2b8858b8b61facf01391bea8,2017-11,Lincolnshire Police,Lincolnshire Police,-0.590325,53.188370,On or near Supermarket,E01026218,North Kesteven 014C,Suspect charged as part of another case
ed9a776f5d6d51ce5160c433232f011edc934facf2fe1c91bf7da15f329525c2,2017-11,Lincolnshire Police,Lincolnshire Police,-0.538756,53.228660,On or near Shopping Area,E01026122,Lincoln 004A,Unable to prosecute suspect
97513532b4a18b4cef4a36cd74993bb24c16453e7921479ad8ba4687d7eebb14,2017-11,Lincolnshire Police,Lincolnshire Police,-0.544018,53.241346,On or near MOUNT STREET,E01026151,Lincoln 003E,Investigation complete; no suspect identified
6a16b749e18cee328423ff6b25e68ba12f0c68cdba805c9a5d495039b59eab7d,2017-11,Lincolnshire Police,Lincolnshire Police,-0.168791,52.675409,On or near Supermarket,E01026239,South Holland 011A,Investigation complete; no suspect identified
56391642c7b1c4b017e850cdde847d5da9ab319c3288c811df2919c522f5a7ec,2017-11,Lincolnshire Police,Lincolnshire Police,-0.010742,52.969731,On or near SKIRBECK GARDENS,E01026027,Boston 004D,Unable to prosecute suspect
07ba8a4a692672b44930cffd44c9954f9104f6a9afc3de05c566de067c631af9,2017-11,Lincolnshire Police,Lincolnshire Police,-0.142884,53.106411,On or near LANGRICK ROAD,E01026051,East Lindsey 016A,Investigation complete; no suspect identified
bc044cee05b531bf8c2c1a64622132a9bcea0739ef33ff46418cb09bf550f3dc,2017-11,Lincolnshire Police,Lincolnshire Police,-0.019923,52.985870,On or near GRAND SLUICE LANE,E01026036,Boston 003D,Investigation complete; no suspect identified
fbc6a8161bf5789f75a482b91b62acebaa90b5a241a722824d241d7354b426a2,2017-11,Lincolnshire Police,Lincolnshire Police,-0.170719,52.772944,On or near LONDON ROAD,E01026263,South Holland 009B,Investigation complete; no suspect identified
0ed3cc301195b3caa6abda03ca7aa6db2c31e084e3259315e0945013cdd56c08,2017-11,Lincolnshire Police,Lincolnshire Police,0.345703,53.153159,On or near ST ANDREW'S DRIVE,E01026116,East Lindsey 012D,Investigation complete; no suspect identified
c700d6ab2dd31bf52c5beba46b3396c2c9e90cc42ad6f3f74c48a9bc37bdf963,2017-11,Lincolnshire Police,Lincolnshire Police,-0.026080,52.949821,On or near LOW ROAD,E01026040,Boston 008E,Investigation complete; no suspect identified
75d4c37c4a45285493accaef1e616af44310d40f0ac35338ffa1c08db3bfb8ac,2017-11,Lincolnshire Police,Lincolnshire Police,-0.024660,52.981642,On or near THOROLD STREET,E01026036,Boston 003D,Investigation complete; no suspect identified
21a4cc0d372529e91447ffe50d79d95bbc83951e79c07ab6c94c54ffa8a67cf1,2017-11,Lincolnshire Police,Lincolnshire Police,0.336022,53.144565,On or near LINCOLN ROAD,E01026093,East Lindsey 014B,Unable to prosecute suspect
337f0b25dfb6ad2c840c07499429c0f2851011a7df7282a84891a37e68209076,2017-11,Lincolnshire Police,Lincolnshire Police,-0.558646,53.260465,On or near MIDDLE STREET,E01026397,West Lindsey 009B,Investigation complete; no suspect identified
88ef644fcb37ec100da394317dc636be392c28581bff94eee0d931d4024fb33b,2017-11,Lincolnshire Police,Lincolnshire Police,-0.652381,52.901271,On or near HARLAXTON ROAD,E01026317,South Kesteven 006A,Investigation complete; no suspect identified
bc987e7185d97d87b1f0458d9e342d6082a2b03183634b8013570692449ae8fd,2017-11,Lincolnshire Police,Lincolnshire Police,-0.016421,53.365674,On or near B1200,E01032986,East Lindsey 004D,Investigation complete; no suspect identified
ebbb026f377569c476183e54b12dffcca50fc34cc3765ae04fc470c2329e7f52,2017-11,Lincolnshire Police,Lincolnshire Police,-0.540816,53.229306,On or near Further/Higher Educational Building,E01026143,Lincoln 005B,Offender given a caution
4e6a0179880423ea6dc7d7ba77b5cd24a91b8cf4c3166f8f186189980ca450b1,2017-11,Lincolnshire Police,Lincolnshire Police,-0.542535,53.229435,On or near NEWLAND,E01026143,Lincoln 005B,Investigation complete; no suspect identified
69d8dbfc4f19c61c034e8d4467acf5b4eded27f63d3698efb1b08322a308a947,2017-11,Lincolnshire Police,Lincolnshire Police,-0.642234,52.903403,On or near WILKS ROAD,E01026318,South Kesteven 006B,Unable to prosecute suspect
c95fd2a5d14275faab2abb067cbdcccfbc9b52cb0581a00ce37602206339e539,2017-11,Lincolnshire Police,Lincolnshire Police,-0.385127,53.045207,On or near SILVER STREET,E01026222,North Kesteven 009C,Unable to prosecute suspect
4625538f110aaffba6eb4886d2be05fe63f4dfb7d669af75518b0bd5b053e85d,2017-11,Lincolnshire Police,Lincolnshire Police,-0.756073,53.403523,On or near KESTREL AVENUE,E01026377,West Lindsey 006D,Investigation complete; no suspect identified
804ecdc83b719700b59fbaede9c5ddd3274f415f0b2fe3eec4f2d95445deca2c,2017-11,Lincolnshire Police,Lincolnshire Police,-0.486182,52.659200,On or near ANNE ROAD,E01026287,South Kesteven 015A,Unable to prosecute suspect
4b50b854c924b3ce46a95d96eed11dcee2ef8903810943c51135a00ddc047b7d,2017-11,Lincolnshire Police,Lincolnshire Police,-0.540606,53.227982,On or near Shopping Area,E01026176,Lincoln 006B,Unable to prosecute suspect
2c6e04573e3b665b83e4a2a5c8dae48c558615d3b808a323597f23cabff1ece7,2017-11,Lincolnshire Police,Lincolnshire Police,-0.316671,52.680550,On or near Sports/Recreation Area,E01026337,South Kesteven 013D,Unable to prosecute suspect
5896c96bc9336d650d7738a6dccc8f5213bff5b4b85eeac82aba24e6b970251e,2017-11,Lincolnshire Police,Lincolnshire Police,-0.547796,53.228465,On or near Theatre/Concert Hall,E01026132,Lincoln 005A,Investigation complete; no suspect identified
6bf5062dc9b4e240953795e9e25a327c2ce29e7bc7048b3c5435d231e67e03dc,2017-11,Lincolnshire Police,Lincolnshire Police,-0.540341,53.230055,On or near Nightclub,E01026143,Lincoln 005B,Suspect charged
7282c8713c91e782b23edf4fb58f520706ff315d2d325b0ca7a10611444d0424,2017-11,Lincolnshire Police,Lincolnshire Police,-0.554375,53.223043,On or near WATERLOO STREET,E01026133,Lincoln 008A,Investigation complete; no suspect identified
3d7b28ceda4de110a63b93cdd19049248d40098d74e306cd225d38eb09514496,2017-11,Lincolnshire Police,Lincolnshire Police,-0.660407,52.905686,On or near CALDER CLOSE,E01026312,South Kesteven 005E,Unable to prosecute suspect
18510014c19fc79835974ad4565da2a6cd6340e1761ac9deef8adc7a088ede44,2017-11,Lincolnshire Police,Lincolnshire Police,-0.537751,53.248039,On or near Petrol Station,E01026166,Lincoln 001C,Investigation complete; no suspect identified
75d4c37c4a45285493accaef1e616af44310d40f0ac35338ffa1c08db3bfb8ac,2017-11,Lincolnshire Police,Lincolnshire Police,-0.024660,52.981642,On or near THOROLD STREET,E01026036,Boston 003D,Investigation complete; no suspect identified
